,soc,Element Name,Unnamed: 0,id,label,Data Value,computerization
459,43-4071,Assisting and Caring for Others,459,662,1,2.84,0.97
460,43-4071,"Cramped Work Space, Awkward Positions",460,662,1,1.42,0.97
461,43-4071,Fine Arts,461,662,1,1.09,0.97
462,43-4071,Finger Dexterity,462,662,1,2.88,0.97
463,43-4071,Manual Dexterity,463,662,1,2.0,0.97
464,43-4071,Negotiation,464,662,1,2.12,0.97
465,43-4071,Originality,465,662,1,2.75,0.97
466,43-4071,Persuasion,466,662,1,2.12,0.97
467,43-4071,Social Perceptiveness,467,662,1,2.25,0.97
468,43-4161,Assisting and Caring for Others,468,532,1,3.29,0.9
469,43-4161,"Cramped Work Space, Awkward Positions",469,532,1,1.28,0.9
470,43-4161,Fine Arts,470,532,1,0.01,0.9
471,43-4161,Finger Dexterity,471,532,1,1.38,0.9
472,43-4161,Manual Dexterity,472,532,1,0.0,0.9
473,43-4161,Negotiation,473,532,1,2.5,0.9
474,43-4161,Originality,474,532,1,2.25,0.9
475,43-4161,Persuasion,475,532,1,2.75,0.9
476,43-4161,Social Perceptiveness,476,532,1,3.38,0.9
477,43-5021,Assisting and Caring for Others,477,599,1,2.59,0.94
478,43-5021,"Cramped Work Space, Awkward Positions",478,599,1,1.85,0.94
479,43-5021,Fine Arts,479,599,1,0.0,0.94
480,43-5021,Finger Dexterity,480,599,1,2.5,0.94
481,43-5021,Manual Dexterity,481,599,1,2.75,0.94
482,43-5021,Negotiation,482,599,1,1.75,0.94
483,43-5021,Originality,483,599,1,1.88,0.94
484,43-5021,Persuasion,484,599,1,1.75,0.94
485,43-5021,Social Perceptiveness,485,599,1,2.38,0.94
486,43-5041,Assisting and Caring for Others,486,485,1,2.55,0.85
487,43-5041,"Cramped Work Space, Awkward Positions",487,485,1,3.52,0.85
488,43-5041,Fine Arts,488,485,1,0.1,0.85
489,43-5041,Finger Dexterity,489,485,1,2.38,0.85
490,43-5041,Manual Dexterity,490,485,1,2.5,0.85
491,43-5041,Negotiation,491,485,1,2.12,0.85
492,43-5041,Originality,492,485,1,2.0,0.85
493,43-5041,Persuasion,493,485,1,2.12,0.85
494,43-5041,Social Perceptiveness,494,485,1,2.12,0.85
495,43-9021,Assisting and Caring for Others,495,691,1,2.38,0.99
496,43-9021,"Cramped Work Space, Awkward Positions",496,691,1,1.78,0.99
497,43-9021,Fine Arts,497,691,1,0.22,0.99
498,43-9021,Finger Dexterity,498,691,1,3.0,0.99
499,43-9021,Manual Dexterity,499,691,1,1.75,0.99
500,43-9021,Negotiation,500,691,1,2.12,0.99
501,43-9021,Originality,501,691,1,2.0,0.99
502,43-9021,Persuasion,502,691,1,2.12,0.99
503,43-9021,Social Perceptiveness,503,691,1,2.5,0.99
504,47-2152,Assisting and Caring for Others,504,249,0,2.375,0.35
505,47-2152,"Cramped Work Space, Awkward Positions",505,249,0,3.92,0.35
506,47-2152,Fine Arts,506,249,0,0.235,0.35
507,47-2152,Finger Dexterity,507,249,0,3.38,0.35
508,47-2152,Manual Dexterity,508,249,0,3.31,0.35
509,47-2152,Negotiation,509,249,0,2.5,0.35
510,47-2152,Originality,510,249,0,2.88,0.35
511,47-2152,Persuasion,511,249,0,2.56,0.35
512,47-2152,Social Perceptiveness,512,249,0,2.685,0.35
513,47-2211,Assisting and Caring for Others,513,453,1,2.58,0.82
514,47-2211,"Cramped Work Space, Awkward Positions",514,453,1,3.48,0.82
515,47-2211,Fine Arts,515,453,1,0.08,0.82
516,47-2211,Finger Dexterity,516,453,1,3.12,0.82
517,47-2211,Manual Dexterity,517,453,1,3.25,0.82
518,47-2211,Negotiation,518,453,1,1.62,0.82
519,47-2211,Originality,519,453,1,2.25,0.82
520,47-2211,Persuasion,520,453,1,1.75,0.82
521,47-2211,Social Perceptiveness,521,453,1,2.0,0.82
522,51-2022,Assisting and Caring for Others,522,621,1,2.47,0.95
523,51-2022,"Cramped Work Space, Awkward Positions",523,621,1,2.07,0.95
524,51-2022,Fine Arts,524,621,1,0.0,0.95
525,51-2022,Finger Dexterity,525,621,1,3.75,0.95
526,51-2022,Manual Dexterity,526,621,1,3.25,0.95
527,51-2022,Negotiation,527,621,1,1.88,0.95
528,51-2022,Originality,528,621,1,2.12,0.95
529,51-2022,Persuasion,529,621,1,1.88,0.95
530,51-2022,Social Perceptiveness,530,621,1,2.5,0.95
531,51-6031,Assisting and Caring for Others,531,530,1,2.26,0.89
532,51-6031,"Cramped Work Space, Awkward Positions",532,530,1,1.56,0.89
533,51-6031,Fine Arts,533,530,1,0.18,0.89
534,51-6031,Finger Dexterity,534,530,1,3.25,0.89
535,51-6031,Manual Dexterity,535,530,1,3.25,0.89
536,51-6031,Negotiation,536,530,1,1.5,0.89
537,51-6031,Originality,537,530,1,1.25,0.89
538,51-6031,Persuasion,538,530,1,1.5,0.89
539,51-6031,Social Perceptiveness,539,530,1,1.88,0.89
540,53-2031,Assisting and Caring for Others,540,250,0,4.58,0.35
541,53-2031,"Cramped Work Space, Awkward Positions",541,250,0,4.26,0.35
542,53-2031,Fine Arts,542,250,0,0.47,0.35
543,53-2031,Finger Dexterity,543,250,0,2.62,0.35
544,53-2031,Manual Dexterity,544,250,0,2.62,0.35
545,53-2031,Negotiation,545,250,0,2.62,0.35
546,53-2031,Originality,546,250,0,2.0,0.35
547,53-2031,Persuasion,547,250,0,2.75,0.35
548,53-2031,Social Perceptiveness,548,250,0,3.25,0.35
549,53-3033,Assisting and Caring for Others,549,380,1,2.6,0.69
550,53-3033,"Cramped Work Space, Awkward Positions",550,380,1,2.74,0.69
551,53-3033,Fine Arts,551,380,1,0.0,0.69
552,53-3033,Finger Dexterity,552,380,1,2.38,0.69
553,53-3033,Manual Dexterity,553,380,1,2.88,0.69
554,53-3033,Negotiation,554,380,1,1.62,0.69
555,53-3033,Originality,555,380,1,1.75,0.69
556,53-3033,Persuasion,556,380,1,1.88,0.69
557,53-3033,Social Perceptiveness,557,380,1,2.25,0.69
558,53-5022,Assisting and Caring for Others,558,343,1,2.52,0.62
559,53-5022,"Cramped Work Space, Awkward Positions",559,343,1,2.75,0.62
560,53-5022,Fine Arts,560,343,1,0.0,0.62
561,53-5022,Finger Dexterity,561,343,1,3.25,0.62
562,53-5022,Manual Dexterity,562,343,1,3.25,0.62
563,53-5022,Negotiation,563,343,1,2.38,0.62
564,53-5022,Originality,564,343,1,2.5,0.62
565,53-5022,Persuasion,565,343,1,2.25,0.62
566,53-5022,Social Perceptiveness,566,343,1,2.88,0.62
567,53-6021,Assisting and Caring for Others,567,510,1,2.98,0.87
568,53-6021,"Cramped Work Space, Awkward Positions",568,510,1,1.37,0.87
569,53-6021,Fine Arts,569,510,1,0.43,0.87
570,53-6021,Finger Dexterity,570,510,1,2.5,0.87
571,53-6021,Manual Dexterity,571,510,1,2.5,0.87
572,53-6021,Negotiation,572,510,1,2.0,0.87
573,53-6021,Originality,573,510,1,1.75,0.87
574,53-6021,Persuasion,574,510,1,1.75,0.87
575,53-6021,Social Perceptiveness,575,510,1,2.38,0.87
576,53-7051,Assisting and Caring for Others,576,588,1,3.22,0.93
577,53-7051,"Cramped Work Space, Awkward Positions",577,588,1,3.17,0.93
578,53-7051,Fine Arts,578,588,1,0.53,0.93
579,53-7051,Finger Dexterity,579,588,1,2.88,0.93
580,53-7051,Manual Dexterity,580,588,1,3.12,0.93
581,53-7051,Negotiation,581,588,1,1.5,0.93
582,53-7051,Originality,582,588,1,1.75,0.93
583,53-7051,Persuasion,583,588,1,1.62,0.93
584,53-7051,Social Perceptiveness,584,588,1,1.88,0.93
